KO,ENG,JPN
당몰샘,Dangmulsaem Spring,タンモルセム
당사도 등대,Dangsado Island Lighthouse,唐寺島灯台
대둔도,Daedundo Island,大屯島
대리칠충각,Daerichilchunggak,大里七忠閣
대마도,Daemado Island,大馬島
대섬어촌복합체험공원,Daeseom Fishing Village Complex Experience Park,テソム漁村複合体験公園
대초마을,Daecho Village,テチョマウル
덕양사,Deokyangsa Temple,徳陽祠
덕흥해변,Deokheung Beach,徳興海辺
도래마을,Dorae Village,トレマウル
도림사 계곡,Dorim Temple Valley,道林寺渓谷
도원선착장,Dowon Quay,トウォン船着場
도장사,Dojang Temple,道蔵寺
도초도,Dochodo Island,都草島
독거도,Dokgeodo Island,独巨島
둔장해변,Dunjang Beach,トゥンジャン海辺
들풀미술학교,Deulpul Art School,トゥルプル美術学校
땅끝송호 정보화마을,Ttangkkeut Songhojeongbohwa Village,タンクッ松湖情報化マウル
땅끝황토나라테마촌,Ttangkkeutwangtonaratema Village,タンクッ黄土ナラテーマ村
마한문화공원,Mahan Cultural Park,馬韓文化公園
만연사,Manyeon Temple,万淵寺
만재도,Manjaedo Island,晩才島
만흥공원,Manheung Park,万興公園
망끝전망대,Mangkkeut Observatory,マンクッ展望台
망덕포구,Mangdeok Port,望徳浦口
맹골도,Maenggoldo Island,孟骨島
모래미해수욕장,Moraemi Beach,モレミ海水浴場
모시나라,Moshinara,モシナラ
목아재,Mogajae Trail,モガ峠
목포 관광특구,Mokpo Special Tourist Zone,木浦観光特区
목포연안여객선터미널,Mokpo Coastal Passenger Ship Terminal,木浦沿岸旅客船ターミナル
목포항,Mokpo Port,木浦港
무안 감풀마을,Muan Gampul Village,務安カンプルマウル
무열사,Muyeol Temple,武烈祠
담양 창평 삼지내마을,Damyang Changpyeong Samjinae Village,潭陽昌平サムジネマウル
상낙월도,Sangnakwoldo Island,上落月島
상모마을,Sangmo Village,サンモマウル
섬진강벚꽃길,Seomjingang River Cherry Blossom Walkway,蟾津江桜道
성삼재,Seongsamjae Valley,性三峙
소기점도,Sogijeomdo Island,小奇点島
쌍충사,Ssangchungsa Temple,双忠祠
오도 매표소,Odo Ticket office,梧島切符売場
전라병영성지,Jeolla Naval Fortress Site,全羅兵営城
회산 백련지무안 연꽃축제,Hoesan White Lotus Pond Muan Lotus Festival,淮山白蓮池務安蓮祭り
병풍도,Byeongpungdo Island,屏風島
가좌동성당,Gajwadong Cathedral,加佐洞カトリック教会
남사교,Namsagyo Bridge,南四橋
동아서림,Dongaseorim,トンア書林
서문교,Seomungyo Bridge,西門橋
서문시장삼겹살골목,Seomun Market Pork Belly Alley,西門市場サムギョプサルゴルモク
성화근린공원,Seonghwa Neighborhood Park,聖化近隣公園
수곡공원,Sugok Park,水谷公園
실버공원,Silver Park,シルバー公園
2호문화공원,2nd Culture Park,2号文化公園
둔산대공원,Dunsan Grand Park,屯山大公園
뿌리공원,Ppuri Park,プリ公園
수변문화원,Subyeon Cultural Center,水辺文化院
엑스포수상공원,Expo Water Park,エキスポ水上公園
창주사적공원,Changju Historical Park,チャンジュ史蹟公園
한숲공원,Hansup Park,ハンスプ公園
하늘소리공원,Haneulsori Park,ハヌルソリ公園
쌍용공원,Ssangyong Park,双龍公園
용곡공원,Yonggok Park,ヨンゴク公園
동부창고,Eastern warehouse,東部倉庫
동춘당공원,Dongchundang Park,同春堂公園
발산공원,Balsan Park,パルサン公園
불무공원,Bulmu Park,プルム公園
새터공원,Saeteo Park,セト公園
안산공원 대전,Ansan Park Daejeon,アンサン公園 大田
송천교,Songcheon Bridge,ソンチョン橋
운천제5호공원,Uncheon 5th Park,雲泉第5号公園
송광사,Songgwangsa Temple,松広寺
통일전망대,Unification Observatory,統一展望台
주현공원,Juhyeon Park,ジュヒョン公園
증평단군전,Jeungpyeong Dangunjeon,曽坪檀君殿
구룡유아숲체험원,Guryong Forest Experience Center for Children,クリョン幼児スプ体験院
단재신채호 기념관,Danjae Sinchaeho Memorial Hall,丹斎申采浩 記念館
망선루 청주,"Mangseonlu, Cheongju",望仙樓 清州
만수공원,Mansu Park,マンス公園
목과공원,Mokgwa Park,モックァ公園
봉산공원,Bongsan Park,峰山公園
봉산공원산책로,Bongsan Park Trail,峰山公園散策路
봉산공원음수대,Bongsan Park Drinking Fountain,峰山公園ウムスデ
봉산공원휴게광장,Bongsan Park Rest Area,峰山公園休憩広場
쌍청공원,Ssangcheong Park,双清公園
연제공원,Yeonje Park,莲堤公園
청남대산책로,Cheongnamdae Trail,青南台散策路
궁동근린공원,Gungdong Neighborhood Park,弓洞近隣公園
도안근린공원,Doan Neighborhood Park,道安近隣公園
도안숲공원,Doan Forest Park,道安の森公園
선들공원,Seondeul Park,ソンドル公園
소태근린공원,Sotae Neighborhood Park,ソテ近隣公園
용반들근린공원,Yongbandeul Neighborhood Park,ヨンバンドゥル近隣公園
용소수변공원,Yongso Waterside Park,ヨンソ水辺公園
원골어린이공원,Wongol Kids Park,ウォンゴル子供公園
윗용소어린이공원,Wisyongso Kids Park,ウィッヨンソ子供公園
유성온천공원,Yuseong Hot Springs Park,儒城温泉公園
유성온천공원 족욕체험장,Yuseong Hot Springs Park Foot Bath Experience,儒城温泉公園 足湯体験場
진가쟁이어린이공원,Jingajaengi Kids Park,チンガジェンイ子供公園
청소년문화마당,Youth Culture Plaza,青少年文化マダン
활골어린이공원,Hwalgol Kids Park,ファルゴル子供公園
늘푸른공원,Neulpureun Park,ヌルプルン公園
능수버들공원,Neungsubeodeul Park,ヌンスポドゥル公園
다온근린공원,Daon Neighborhood Park,タオン近隣公園
도솔광장,Dosol Square,トソル広場
두정공원,Dujeong Park,斗井公園
라온소공원,Raon Small Park,ラオンソ公園
못마루공원,Motmaru Park,モッマル公園
삼화공원,Samhwa Park,サムファ公園
성성3지구근린공원,Seongseong District 3 Neighborhood Park,聖城3地区近隣公園
성성호수공원,Seongseong Lake Park,聖城湖水公園
성정공원,Seongjeong Park,星井公園
소리공원,Sori Park,ソリ公園
신안동성당,Sinan-dong Cathedral,新安洞聖堂
신정호,Sinjungho Lake,シン·ジョンホ
쌍충사적비,Memorial Stone for the Two Loyal Generals,双虫史跡比
아산문화공원,Asan Cultural Park,牙山文化公園
어울림근린공원,Eoulim Neighborhood Park,オウリム近隣公園
온샘근린공원,Onsaem Neighborhood Park,オンセム近隣公園
장골근린공원,Janggol Neighborhood Park,チャンゴル近隣公園
장재울공원,Jangjaeul Park,チャン·ジェウル公園
천안남산공원,Cheonan Namsan Park,天安南山公園
충주호관광선 청풍호유람선,Chungjuho Lake Tourist Ship Cheongpung Lake Cruise Ship,忠州湖観光船清風湖遊覧船
명장사,Myeongjangsa Temple,明荘師
보살사,Bosalsa Temple,菩薩寺
서현근린공원,Seohyeon Neighborhood Park,西賢近隣公園
꽃내음공원,Kkonnaeeum Park,コッネウム公園
월봉공원,Wolbong Park,月峰公園
안산어린이공원,Ansan Kids Park,アンサン子供公園
팔달문관광안내소,Paldalmun Tourist Information Center,八達門観光案内所
월영대,Wolyeongdae,月影台
불당동유적공원유아숲체험장,Buldangdong Historic Park Child Forest Experience Center,仏堂洞遺跡公園幼児森体験場
유구벽화거리,Yugu Mural Street,維鳩壁画通り
창천근린공원,Changcheon Neighborhood Park,昌川近隣公園
아라폭포,Ara Waterfall,アラ滝
낙가동소류지,Nakga-dong Resorvior,ナッカドン沼溜地
백양사,Baegyangsa Temple,白羊寺
용흥궁,Yongheung Palace,龍興宮
의암기념관,Uiam Memorial Hall,義岩記念館
청주협동화단지,Cheongju Cooperative Complex,清州協同化団地
가수원근린공원,Gasuwon Neighborhood Park,佳水院近隣公園
구봉근린공원,Gubong Neighborhood Park,クボン近隣公園
신선암근린공원,Sinseonam Neighborhood Park,神仙岩近隣公園
장갓골근린공원,Janggatgol Neighborhood Park,チャンガッコル近隣公園
소리근린공원,Sori Neighborhood Park,ソリ近隣公園
덕암공원,Deokam Park,徳岩公園
동화울수변공원,Donghwaul Waterside Park,トンファウル水辺公園
미동산수목원,Midongsan Arboretum,米東山樹木園
미원성당,Miwon Cathedral,米院聖堂
신탄진휴게소 분수광장,Sintanjin Rest Area Fountain Plaza,新灘津サービスエリア 噴水広場
신탄진휴게소 종합안내소,Sintanjin Rest Area General Information Center,新灘津サービスエリア 総合案内所
을미기공원,Eulmigi Park,ウルミギ公園
장배기공원,Jangbaegi Park,チャンベギ公園
수원지공원,Suwonji Park,水源地公園
조천연꽃공원,Jocheon Lotus Park,朝天蓮華公園
갈미공원,Galmi Park,カルミ公園
갈미문학공원,Galmi Literature Park,カルミ文学公園
갈미한글공원,Galmi Hangeul Park,カルミハングル公園
귀인공원,Gwiin Park,貴仁公園
내동공원,Naedong Park,ネドン公園
럭키공원,Lucky Park,ラッキー公園
빛솔공원,Bitsol Park,ピッソル公園
약수공원,Yaksu Park,薬水公園
의왕근린공원,Uiwang Neighborhood Park,ウィワン近隣公園
죽도봉공원,Jukdobong Park,竹島峰公園
평촌공원,Pyeongchon Park,坪村公園
가랑터소공원,Garangteo Small Park,カラント小公園
갈매배수지,Galmae Drainage Basin,葛梅配水池
강산공원,Gangsan Park,江山公園
그루터소공원,Gruteo Small Park,グルタソ公園
금강로하스에코공원,Geumgang Lohas Eco Park,錦江ローハスエコ公園
금호근린공원,Geumho Neighborhood Park,金湖近隣公園
기쁨뜰근린공원,Gippeumtteul Neighborhood Park,喜びの庭近隣公園
김종서장군역사테마공원,General Kim Jongseo History Theme Park,キム·ジョンソ将軍歴史テーマ公園
김종서장군제각,General Kim Jongseo's Pavilion,キム·ジョンソ将軍祭閣
깁가람수변공원,Gipgaram Waterside Park,キブガラム水辺公園
나성동독락정역사공원,Naseongdong Dongnakjeong History Park,羅城洞独楽亭歴史公園
누리빛문화공원,Nuribit Culture Park,ヌリビッ文化公園
달님뜰근린공원,Dallimtteul Neighborhood Park,タルニムトゥル近隣公園
물별수변공원,Mulbyeol Waterside Park,ムルビョル水辺公園
밀마루전망대,Milmaru Observatory,ミルマル展望台
방축천 음악분수,Bangchukcheon Musical Fountain,防築川音楽噴水
배들소공원,Baedeul Small Park,ペドゥルソ公園
보람뜰근린공원,Boramtteul Neighborhood Park,ポラムトゥル近隣公園
붓꽃수변공원,Butkkot Waterside Park,ハナアヤメ水辺公園
빛가람수변공원,Bitgaram Waterside Park,ピッカラム水辺公園
새숨뜰근린공원,Saesumtteul Neighborhood Park,セスムトゥル近隣公園
세양공원,Seyang Park,セヤン公園
세종전통문화체험관,Sejong Korean Traditional Culture Center,世宗伝統文化体験館
세종지구공원,Sejong District Park,世宗地区公園
솔뜰근린공원,Soltteul Neighborhood Park,ソルトゥル近隣公園
아울뜰근린공원,Aultteul Neighborhood Park,アウルトゥル近隣公園
양천공원,Yangcheon Park,陽川公園
어리연수변공원,Eoriyeon Waterside Park,オリヨン水辺公園
어서각,Royal Writing Depository,御書閣
어진뜰근린공원,Eojintteul Neighborhood Park,オジントゥル近隣公園
여울목수변공원,Yeoulmok Waterside Park,ヨウルモク水辺公園
영평사,Yeongpyeongsa Temple,永平寺
오가낭뜰근린공원,Oganangtteul Neighborhood Park,オガナントゥル近隣公園
원수산습지생태원,Wonsusan Wetland Ecological Center,元帥山湿地生態園
장남평야,Jangnam Plains,長南平野
정부세종청사 옥상정원,Sejong Government Complex Rooftop Garden,政府世宗庁舎屋上庭園
조성습지공원,Constructed Wetland Park,チョソン湿地公園
청음교,Cheongeumgyo Bridge,チョンウム橋
초려기념관,Choryeo Memorial Hall,草廬記念館
초려역사공원,Choryeo History Park,草廬歷史公園
파랑새 유아숲체험원,Bluebird Forest Experience Center for Infant,青い鳥幼児森体験院
푸른뜰 근린공원,Pureuntteul Neighborhood Park,プルントゥル近隣公園
품안뜰 근린공원,Pumantteul Neighborhood Park,プムアントゥル近隣公園
한글공원어린이놀이터,Hangeul Park Children's Playground,ハングル公園子供遊び場
한나래공원,Hannarae Park,ハンナレ公園
한나래공원조류관찰대,Hannarae Park Bird Observatory,ハンナレ公園鳥類観察台
함뱅이뜰근린공원,Hambaengitteul Neighborhood Park,ハンベンイトゥル近隣公園
행복1공구잔디광장,Haengbok 1 Gonggu Lawn Plaza,幸福1コング芝広場
행복1공구전망대,Haengbok 1 Gonggu Observatory,幸福1コング展望台
호려울뜰근린공원,Horyeoultteul Neighborhood Park,ホリョウルトゥル近隣公園
북장대,Bukjangdae Command Post,北将台
영남포정사문루,Government Office of Yeongnam Gatehouse,嶺南布政司門楼
창열사,Changyeolsa Temple,彰烈祠
UN반기문기념광장,UN Ban Ki-moon Square,UNパン･ギムン記念広場
강당말공원,Gangdangmal Park,カンダンマル公園
남천공원,Namcheon Park,ナムチョン公園
너나들이공원,Neonadeuli Park,ノナドゥリ公園
늘해랑공원,Neulhaerang Park,ヌルヘラン公園
대화공원,Daehwa Park,テファ公園
도당공원,Dodang Park,都唐公園
선들골공원,Seondeulgol Park,ソンドゥルゴル公園
설성공원,Seolseong Park,ソルソン公園
아름드리공원,Areumdeuri Park,アルムドゥリ公園
음성읍내리삼층석탑,"Three-story Stone Pagoda in Eumnae-ri, Eumseong",陰城邑内里三重石塔
진천역사테마공원,Jincheon History Theme Park,鎮川歴史テーマ公園
참샘골공원,Chamsaemgol Park,チャムセムコル公園
강화온천 스파월드,Ganghwa Hot Spring Spa World,江華温泉スパワールド
갯골공원3호,Gaetgol Park No. 3,ケッコル公園3号
경인아라뱃길,Gyeongin Ara Waterway,京仁アラベッギル
인천개항장 근대건축전시관,Incheon Open Port Modern Architecture Exhibition Hall,仁川開港場近代建築展示館
공주관광안내센터,Gongju Tourist Information Center,公州観光案内センター
금강신관공원잔디광장,Geumgang Singwan Park Lawn Plaza,錦江新官公園芝生広場
동헌,Dongheon,東軒
선화당,Seonhwadang,宣化堂
국사봉,Guksabong,国士峰
소성성당,Soseong Cathedral,ソソンカトリック教会
굴포천,Gulpocheon,掘浦川
대청호조각공원,Daecheongho Lake Sculpture Park,大清湖彫刻公園
대통령기록관,Presidential Archives,大統領記録館
문산관,Munsan Government Office,文山館
문의문화재단지,Munui Cultural Heritage Complex,文義文化財団地
참샘약수터,Chamsaem Mineral Spring,チャムセムヤクスト
천주교대전교구청,Catholic Curia Diocese of Daejeon,カトリック大田教区庁
청주주성강당,Cheongju Juseong Lecture Hall,清州酒城講堂
해든뜰근린공원,Haedeuntteul Neighborhood Park,ヘドゥントゥル近隣公園
황용리 홍살문 충효문화재위원회,Hwangyongri Spiked Red Gate Chunghyo Cultural Heritage Committee,黄龍里 紅箭門 忠孝文化財委員会
봉우재근린공원,Bongujae Neighborhood Park,ボンウジェ近隣公園
진잠근린공원,Jinjam Neighborhood Park,鎮岑近隣公園
금호공원,Geumho Park,琴湖公園
계남공원,Gyenam Park,桂南公園
봄비공원,Bombi Park,ボンビー公園
부개공원,Bugae Park,富開公園
부흥공원,Buheung Park,富興公園
분수공원,Bunsu Park,噴水公園
신복공원,Sinbok Park,シンボク公園
심곡천공원,Simgokcheon Park,深谷川公園
중부동공원,Jungbudong Park,中部洞公園
청운공원,Cheongwoon Park,青雲公園
꽃메산,Kkonme Mountain,コッメ山
노적봉인공폭포공원,Nojeokbong Artificial Waterfall Park,露積峰人工滝公園
논현근린공원,Nonhyeon Neighborhood Park,論峴近隣公園
늘논들,Neullondeul,ヌルノンドゥル
늙목들,Neungmokdeul,ヌルモッドゥル
대포천,Daepocheon,大浦川
떼뿌리해변,Tteppuri Beach,テプリ海辺
목기미해변,Mokgimi Beach,モクギミ海岸
목장불해수욕장,Mokjangbul Beach,モクジャンブル海水浴場
백암등대,Baegam Lighthouse,ペガム灯台
부도등대,Budo Lighthouse,鳧島灯台
분오리돈대,Bunori Fortification,分五里墩臺
삼양탕,Samyang Bath,サムヤン湯
새롬공원,Saerom Park,セロム公園
선두포,Seondupo,先頭浦
선미도등대,Seonmido Lighthouse,善尾島灯台
성불사,Seongbulsa Temple,成仏寺
송도누리공원,Songdo Nuri Park,松島ヌリ公園
수기해수욕장,Sugi Beach,スギ海水浴場
승기근린공원,Seunggi Neighborhood Park,スンギ近隣公園
이일레해수욕장,Iille Beach,イイレ海水浴場
신트리공원,Sinteuri Park,シントゥリ公園
심곡천,Simgokcheon,深谷川
왕산해수욕장,Wangsan Beach,旺山海水浴場
월미공원,Wolmi Park,月尾公園
을왕리해수욕장,Eulwang-ri Beach,乙旺里海水浴場
이촌근린공원,Ichon Geunlin Park,李村近隣公園
천주교 구월동성당,Catholic Guwol-dong Cathedral,カトリック九月洞聖堂
덕적도성당,Deokjeokdo Cathedral,徳積道聖堂
마곡사대광보전,Magoksa Temple Daegwangbojeon Hall,麻谷寺大光宝殿
불로동 성가정 성당,Bulodong Sungajung Cathedral,不老洞 聖家庭聖堂
태실근린공원,Taesil Neighborhood Park,テシル近隣公園
석남동성당,Seoknamdong Cathedral,石南洞聖堂
선학동성당,Seonhakdong Cathedral,仙鶴洞聖堂
한밭수목원관목원,Hanbat Arboretum Shrub Garden,ハンバッ樹木園低木園
한밭수목원단풍나무원,Hanbat Arboretum Maple Garden,ハンバッ樹木園カエデ園
한밭수목원명상의숲,Hanbat Arboretum Meditation Forest,ハンバッ樹木園 瞑想の森
송도2동성당,Songdo 2-dong Cathedral,松島2洞聖堂
한밭수목원목련원,Hanbat Arboretum Magnolia Garden,ハンバッ樹木園木蓮園
한밭수목원무궁화원,Hanbat Arboretum Mugunghwa Garden,ハンバッ樹木園ムクゲ園
배다리 생태 공원,Baedari Ecological Park,ペダリ生態公園
배미공원,Baemi Park,ペミ公園
신도성당,Shindo Cathedral,信島聖堂
생기자리공원,Saenggijari Park,センギジャリ公園
소사벌공원,Sosabeol Park,ソサボル公園
용죽공원,Yongjuk Park,龍竹公園
원평근린공원,Wonpyeong Neighborhood Park,原平近隣公園
죽백근린공원,Jukbaek Neighborhood Park,チュクペク近隣公園
하날근린공원,Hanal Neighborhood Park,ハナル近隣公園
합정공원,Hapjeong Park,蛤井公園
합정새롬공원,Hapjeong Saerom Park,蛤井セロム公園
영종성당,Yeongjong Cathedral,ヨンゾン聖堂
오류동성당,Oryu-dong Cathedral,梧柳洞聖堂
옥련동성당,Okryeon-dong Cathedral,玉蓮洞聖堂
원당성당,Wondang Cathedral,元當聖堂
인천가톨릭대학교성당,Incheon Catholic University Cathedral,仁川カトリック大学校聖堂
일신동성당,Ilshin-dong Cathedral,日新洞聖堂
청학동성당,Cheonghakdong Cathedral,青鶴洞聖堂
3.1독립기념탑,3.1 Declaration of Independence Monument,3.1独立記念塔
남수문,Namsumun Gate,南水門
도두봉전망대,Dodubong Observatory,道頭峯展望台
새연교,Saeyeongyo Bridge,セヨンギョ
샘골그린공원,Saemgol Green Park,セムゴルグリン公園
수원화성동남각루,Suwon Hwaseong Dongnamgangnu Southeastern Corner Pavilion,水原華城東南角楼
수원화성동북노대,Suwon Hwaseong Dongbuk Nodae Northeastern Archery Platform,水原華城東北弩台
신흥문화공원,Sinheung Culture Park,新興文化公園
쌈지공원,Ssamji Park,サムジ公園
안양시어린이교통공원,Anyangsi Children's Traffic Safety Park,安養市子供交通公園
엑스포 과학공원대전세계엑스포기념품박물관,Expo Science Park Daejeon International Expo Souvenir Museum,エキスポ 科学公園大田世界エキスポ記念品博物館
엑스포 과학공원한빛광장,Expo Science Park Hanbit Square,エキスポ科学公園ハンビッ広場
으능정이스카이로드,Eunneungjeongi Sky Road,ウヌンジョンイスカイロード
장안공원,Jangan Park,長安公園
인천삼산월드체육관,Incheon Samsan World Stadium,仁川三山ワールド体育館
기쁨누리공원,Gippeumnuri Park,キプムヌリ公園
생기율공원,Saenggiyul Park,センギユル公園
송골공원,Songgol Park,ソンコル公園
장골해수욕장,Janggol Beach,場谷海水浴場
자유공원,Freedom Park,自由公園
장경리해수욕장,Janggyeongni Beach,チャンギョンリ海水浴場
장봉도옹암해변,Jangbongdo Ongam Beach,長峰島オンアム海辺
정성레저낚시터,Jeongseong Leisure Fishing,真心レジャー釣り場
정족산,Jeongjoksan mountain,鼎足山
2.28기념중앙공원,2.28 Memorial Central Park,2.28記念中央公園
지선사,Jisunsa temple,智詵 士
진모래해변,Jin sand beach,ジンモレ海岸
큰말해수욕장,Keunmal Beach,クンマル海水浴場
큰무리어촌체험마을,Keunmuri Fishing Village,クンムリ漁村体験村
머내과학공원,Meonae Science Park,マネ科学公園
모담공원,Modam Park,モダム公園
모란공원,Moran Park,牡丹公園
모란생태공원,Moran Ecological Park,牡丹生態公園
모산근린공원(2024년예정),Mosan Neighborhood Park (scheduled for 2024),茅山近隣公園(2024年予定)
목감공원,Mokgam Park,牧甘公園
목감소공원,Mokgamso Park,牧甘沼公園
목실공원,Moksil Park,木室公園
목화공원,Cotton Park,綿花公園
못골공원,Motgol Park,モッコル公園
묘지공원,Cemetery Park,墓地公園
무궁화공원,Mugunghwa Park,無窮花公園
무원공원,Muwon Park,茂原公園
무잡모퉁이공원,Mujab Corner Park,無雑角公園
무장들공원,Armed Field Park,武将野公園
무지개문화공원,Rainbow Culture Park,虹の文化公園
문예문화공원,Literary and Cultural Park,文芸文化公園
문헌근린공원,Literature Neighborhood Park,文献近隣公園
물결공원,Wave Park,波の公園
물다미공원,Water Dami Park,ムルダミ公園
물레방아쉼터,a waterwheel shelter,水車小屋
물빛공원,Mulbit Park,ムルビッ公園
물안개공원,Water fog park,水霧公園
물푸레공원,Mulpure Park,水車公園
미리내공원,Mirinae Park,ミリネ公園
미사강변성당,Misa Riverside Cathedral,ミサ江辺聖堂
미사숲공원,Misa Forest Park,ミサの森公園
미사역사일가공원,a misa station worker,微砂歴史加工員
미사호수공원,Misa Lake Park,ミサ湖公園
미양공원,Miyang Park,美陽公園
민백공원,Minbaek Park,ミンベク公園
바람근린공원,Wind Neighborhood Park,風近隣公園
바람소리공원,Wind Sound Park,風の音公園
반달중앙공원,Half Moon Central Park,半月中央公園
반석산노인공원,Banseoksan Senior Park,盤石山老人公園
반월공원,Banwol Park,半月公園
밤가시공원,Night thorn park,栗樫公園
밤나무공원,Chestnut Tree Park,栗の木公園
밤밭청개구리공원,Night Field Green Frog Park,栗原青蛙公園
방아고개공원,Bangagogae Park,バンア峠公園
방아공원,Banga Park,バンア公園
방죽골공원,Bangjukgol Park,防竹谷公園
배곧생명공원,Baegot Life Park,ペゴッ生命公園
배곧성당,Baegot Cathedral,ペゴッ聖堂
배수지공원,Baesuji Park,配水池公園
백동단지공원,Baekdong Complex Park,白洞団地公園
벽산블루밍아파트공원,Byeoksan Blooming Apartment Park,碧山ブルーミングアパート公園
벽제공원,Byeokje Park,碧蹄公園
별내중앙공원,Byeolnae Central Park,ビョルネ中央公園
별님공원,Byulnim Park,ビョルニム公園
별다올근린공원,Byeoldaol Neighborhood Park,ビョルダオル近隣公園
별빛광장,Starlight Square,星明かり広場
병점근린공원,Byeongjeom Neighborhood Park,ビョンジョム近隣公園
보담공원,Bodam Park,ポダム公園
복사골공원,Boksagol Park,ポクサゴル公園
복우물공원,Bok Well Park,福井戸公園
복지공원,a welfare park,福祉公園
본오공원,Bono Park,本五公園
봇들공원,Botdeul Park,ボットゥル公園
부곡근린공원,Bugok Neighborhood Park,釜谷近隣公園
